SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,20,DSR,7.5
1,0,0,20,DSR,7.5
2,0,0,20,DSR,7.5
3,0,0,20,DSR,7.5
4,0,0,20,DSR,7.5
5,0,0,20,DSR,7.5
6,0,0,20,DSR,7.5
7,0,0,20,DSR,7.5
8,0,0,20,DSR,7.5
9,0,0,20,DSR,7.5
10,0,0,20,DSR,7.5
11,0,0,20,DSR,7.5
12,0,0,20,DSR,7.5
13,0,0,20,DSR,7.5
14,0,0,20,DSR,7.5
15,0,0,20,DSR,7.5
16,0,0,20,DSR,7.5
17,0,0,20,DSR,7.5
18,0,0,20,DSR,7.5
19,0,0,20,DSR,7.5
20,0,0,20,DSR,7.5
21,0,0,20,DSR,7.5
22,0,0,20,DSR,7.5
23,0,0,20,DSR,7.5
24,0,0,20,DSR,7.5
25,0,0,20,DSR,7.5
26,0,0,20,DSR,7.5
27,0,0,20,DSR,7.5
28,0,0,20,DSR,7.5
29,0,0,20,DSR,7.5
30,0,0,20,DSR,7.5
31,0,0,20,DSR,7.5
32,0,0,20,DSR,7.5
33,0,0,20,DSR,7.5
34,0,0,20,DSR,7.5
35,0,0,20,DSR,7.5
36,0,0,20,DSR,7.5
37,0,0,20,DSR,7.5
38,0,0,20,DSR,7.5
39,0,0,20,DSR,7.5
40,0,0,20,DSR,7.5
41,0,0,20,DSR,7.5
42,0,0,20,DSR,7.5
43,0,0,20,DSR,7.5
44,0,0,20,DSR,7.5
45,0,0,20,DSR,7.5
46,0,0,20,DSR,7.5
47,0,0,20,DSR,7.5
48,0,0,20,DSR,7.5
49,0,0,20,DSR,7.5
50,0,0,20,DSR,7.5
51,6.144,12,20,DSR,7.5
52,28.672,56,20,DSR,7.5
53,32.768,64,20,DSR,7.5
54,29.696,58,20,DSR,7.5
55,28.672,56,20,DSR,7.5
56,28.16,55,20,DSR,7.5
57,32.256,63,20,DSR,7.5
58,30.72,60,20,DSR,7.5
59,30.208,59,20,DSR,7.5
60,30.208,59,20,DSR,7.5
61,30.72,60,20,DSR,7.5
62,30.72,60,20,DSR,7.5
63,30.72,60,20,DSR,7.5
64,28.16,55,20,DSR,7.5
65,31.744,62,20,DSR,7.5
66,30.72,60,20,DSR,7.5
67,30.72,60,20,DSR,7.5
68,28.672,56,20,DSR,7.5
69,29.184,57,20,DSR,7.5
70,28.672,56,20,DSR,7.5
71,30.72,60,20,DSR,7.5
72,29.696,58,20,DSR,7.5
73,29.184,57,20,DSR,7.5
74,25.6,50,20,DSR,7.5
75,28.672,56,20,DSR,7.5
76,26.624,52,20,DSR,7.5
77,26.624,52,20,DSR,7.5
78,27.136,53,20,DSR,7.5
79,23.04,45,20,DSR,7.5
80,20.992,41,20,DSR,7.5
81,24.576,48,20,DSR,7.5
82,19.968,39,20,DSR,7.5
83,30.208,59,20,DSR,7.5
84,24.576,48,20,DSR,7.5
85,26.112,51,20,DSR,7.5
86,26.112,51,20,DSR,7.5
87,28.16,55,20,DSR,7.5
88,27.136,53,20,DSR,7.5
89,28.672,56,20,DSR,7.5
90,27.136,53,20,DSR,7.5
91,23.552,46,20,DSR,7.5
92,23.04,45,20,DSR,7.5
93,22.016,43,20,DSR,7.5
94,25.088,49,20,DSR,7.5
95,22.528,44,20,DSR,7.5
96,23.04,45,20,DSR,7.5
97,25.6,50,20,DSR,7.5
98,26.624,52,20,DSR,7.5
99,26.112,51,20,DSR,7.5
